team_name,player_name,ipl_team,base_price,buy_price
Kolkata Knight Riders,"McCullum, BrendonBrendon McCullum",Kolkata Knight Riders,"$400,000","$900,000"
Chennai Super Kings,"Jadeja, RavindraRavindra Jadeja",Chennai Super Kings,"$100,000","$2,000,000"
Royal Challengers Bangalore,"Muralitharan, MuttiahMuttiah Muralitharan",Royal Challengers Bangalore,"$200,000","$220,000"
Delhi Daredevils,"Jayawardene, MahelaMahela Jayawardene",Delhi Daredevils,"$300,000","$1,400,000"
Mumbai Indians,"Gibbs, HerschelleHerschelle Gibbs",Mumbai Indians,"$50,000","$50,000"
Rajasthan Royals,"Hodge, BradBrad Hodge",Rajasthan Royals,"$200,000","$475,000"
Deccan Chargers,"Patel, ParthivParthiv Patel",Deccan Chargers,"$200,000","$650,000"
Rajasthan Royals,"Chandimal, DineshDinesh Chandimal",Rajasthan Royals,"$50,000","$50,000"
Delhi Daredevils,"Russell, AndreAndre Russell",Delhi Daredevils,"$50,000","$450,000"
Mumbai Indians,"Johnson, MitchellMitchell Johnson",Mumbai Indians,"$300,000","$300,000"
Mumbai Indians,"Singh, R. P.R. P. Singh",Mumbai Indians,"$200,000","$600,000"
Royal Challengers Bangalore,"Kumar, VinayVinay Kumar",Royal Challengers Bangalore,"$100,000","$1,000,000"
Rajasthan Royals,Sreesanth,Rajasthan Royals,"$400,000","$400,000"
Kings XI Punjab,"Powar, RameshRamesh Powar",Kings XI Punjab,"$100,000","$160,000"
Rajasthan Royals,"Hogg, BradBrad Hogg",Rajasthan Royals,"$100,000","$180,000"
Kolkata Knight Riders,"Narine, SunilSunil Narine",Kolkata Knight Riders,"$50,000","$700,000"
Mumbai Indians,"Peterson, RobinRobin Peterson",Mumbai Indians,"$100,000","$100,000"
Deccan Chargers,"Harris, DanielDaniel Harris",Deccan Chargers,"$50,000","$70,000"
Rajasthan Royals,"Cooper, KevonKevon Cooper",Rajasthan Royals,"$50,000","$50,000"
Kings XI Punjab,"Faulkner, JamesJames Faulkner",Kings XI Punjab,"$100,000","$190,000"
Kings XI Punjab,"Mahmood, AzharAzhar Mahmood",Kings XI Punjab,"$100,000","$200,000"
Mumbai Indians,"Perera, ThisaraThisara Perera",Mumbai Indians,"$50,000","$650,000"
Kolkata Knight Riders,"de Lange, MarchantMarchant de Lange",Kolkata Knight Riders,"$50,000","$50,000"
Deccan Chargers,"Bravo, DarrenDarren Bravo",Deccan Chargers,"$100,000","$100,000"
Delhi Daredevils,"Bracewell, DougDoug Bracewell",Delhi Daredevils,"$50,000","$50,000"
